Sex,Age,IMD-1,IMD-2,IMD-3,IMD-4,IMD-5
Male,60,0.169304711,0.186258151,0.209801974,0.217526415,0.217108749
Male,61,0.169304711,0.186258151,0.209801974,0.217526415,0.217108749
Male,62,0.169304711,0.186258151,0.209801974,0.217526415,0.217108749
Male,63,0.169304711,0.186258151,0.209801974,0.217526415,0.217108749
Male,64,0.169304711,0.186258151,0.209801974,0.217526415,0.217108749
Male,65,0.152915614,0.179216714,0.213938196,0.226348273,0.227581204
Male,66,0.152915614,0.179216714,0.213938196,0.226348273,0.227581204
Male,67,0.152915614,0.179216714,0.213938196,0.226348273,0.227581204
Male,68,0.152915614,0.179216714,0.213938196,0.226348273,0.227581204
Male,69,0.152915614,0.179216714,0.213938196,0.226348273,0.227581204
Male,70,0.135597352,0.170534393,0.215517255,0.236240022,0.242110978
Male,71,0.135597352,0.170534393,0.215517255,0.236240022,0.242110978
Male,72,0.135597352,0.170534393,0.215517255,0.236240022,0.242110978
Male,73,0.135597352,0.170534393,0.215517255,0.236240022,0.242110978
Male,74,0.135597352,0.170534393,0.215517255,0.236240022,0.242110978
Male,75,0.140938258,0.173721266,0.21577288,0.232596871,0.236970726
Male,76,0.140938258,0.173721266,0.21577288,0.232596871,0.236970726
Male,77,0.140938258,0.173721266,0.21577288,0.232596871,0.236970726
Male,78,0.140938258,0.173721266,0.21577288,0.232596871,0.236970726
Male,79,0.140938258,0.173721266,0.21577288,0.232596871,0.236970726
Male,80,0.136405165,0.170202887,0.213399164,0.233412225,0.246580559
Male,81,0.136405165,0.170202887,0.213399164,0.233412225,0.246580559
Male,82,0.136405165,0.170202887,0.213399164,0.233412225,0.246580559
Male,83,0.136405165,0.170202887,0.213399164,0.233412225,0.246580559
Male,84,0.136405165,0.170202887,0.213399164,0.233412225,0.246580559
Male,85,0.133538728,0.170494893,0.213499245,0.232529202,0.249937933
Male,86,0.133538728,0.170494893,0.213499245,0.232529202,0.249937933
Male,87,0.133538728,0.170494893,0.213499245,0.232529202,0.249937933
Male,88,0.133538728,0.170494893,0.213499245,0.232529202,0.249937933
Male,89,0.133538728,0.170494893,0.213499245,0.232529202,0.249937933
Female,18,0.22424268,0.205634621,0.187480128,0.18601871,0.196623862
Female,19,0.22424268,0.205634621,0.187480128,0.18601871,0.196623862
Female,20,0.242429011,0.251067915,0.194535028,0.16942847,0.142539577
Female,21,0.242429011,0.251067915,0.194535028,0.16942847,0.142539577
Female,22,0.242429011,0.251067915,0.194535028,0.16942847,0.142539577
Female,23,0.242429011,0.251067915,0.194535028,0.16942847,0.142539577
Female,24,0.242429011,0.251067915,0.194535028,0.16942847,0.142539577
Female,25,0.255097336,0.247034136,0.1997451,0.167450574,0.130672854
Female,26,0.255097336,0.247034136,0.1997451,0.167450574,0.130672854
Female,27,0.255097336,0.247034136,0.1997451,0.167450574,0.130672854
